shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location
2026-03-02,Day0,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00001,Boston-MGH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00002,Boston-BWH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00003,Boston-DanaFarber
2026-03-02,Day0,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00004,Boston-MGH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00005,Boston-BWH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00006,Boston-DanaFarber
2026-03-02,Day0,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-00007,Boston-MGH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-00008,Boston-BWH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PBR-2026-00009,Boston-DanaFarber
2026-03-02,Day0,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00010,Boston-MGH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00011,Boston-BWH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00012,Boston-DanaFarber
2026-03-02,Day0,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00013,Boston-MGH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00014,Boston-BWH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00015,Boston-DanaFarber
2026-03-02,Day0,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-00016,Boston-MGH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-00017,Boston-BWH
2026-03-02,Day0,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,ALB-2026-00018,Boston-DanaFarber
2026-03-02,Day0,1,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10001,Philadelphia-UPenn
2026-03-02,Day0,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10002,Philadelphia-CHOP
2026-03-02,Day0,1,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10003,Philadelphia-Jefferson
2026-03-02,Day0,1,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10004,Philadelphia-UPenn
2026-03-02,Day0,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10005,Philadelphia-CHOP
2026-03-02,Day0,1,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10006,Philadelphia-Jefferson
2026-03-02,Day0,1,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-10007,Philadelphia-UPenn
2026-03-02,Day0,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-10008,Philadelphia-CHOP
2026-03-02,Day0,1,C2_NJ_PHL,10035,Pembrolizumab,PBR-2026-10009,Philadelphia-Jefferson
2026-03-02,Day0,1,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-10010,Philadelphia-UPenn
2026-03-02,Day0,1,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10011,Philadelphia-CHOP
2026-03-02,Day0,1,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10012,Philadelphia-Jefferson
2026-03-02,Day0,1,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-10013,Philadelphia-UPenn
2026-03-02,Day0,1,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10014,Philadelphia-CHOP
2026-03-02,Day0,1,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10015,Philadelphia-Jefferson
2026-03-02,Day0,1,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-10016,Philadelphia-UPenn
2026-03-02,Day0,1,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-10017,Philadelphia-CHOP
2026-03-02,Day0,1,C2_NJ_PHL,10070,Albuterol Inhaler,ALB-2026-10018,Philadelphia-Jefferson
